id;venta_id_catedra;fecha_venta;precio_venta;resultado;descripcion;cantidad_asientos
1;25406;2025-12-12T03:00:03;10542.2;true;ack fortunately old-fashioned;28223
2;7672;2025-12-11T22:53:56;26345.55;true;per;30601
3;20829;2025-12-12T02:21:22;10325.46;false;promise cap;6077
4;31087;2025-12-12T14:35:00;26638.56;false;tall tut aw;28294
5;18014;2025-12-12T20:04:30;16183.52;false;crossly;26995
6;16735;2025-12-12T11:16:19;29170.02;false;accidentally dusk verify;29958
7;14269;2025-12-12T00:36:43;22275.72;true;ah;13333
8;23684;2025-12-12T04:23:31;17872.26;true;yuck handover um;23559
9;26392;2025-12-12T09:11:28;29075.47;false;tankful;30317
10;2998;2025-12-11T22:05:40;31989.34;true;er humor;32308
